gene_symbol,organism,,p-value,,sample,,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,n_of_control,n_of_experiment,link,FC,logFC,percent_of_change
DUSP6,human,,3.57e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.10388269,,10.0
CLPSL2,human,,3.66e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.198726128,,19.0
TNFRSF21,human,,3.8e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.781845818,,-21.0
GPNMB,human,,4.08e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.842536674,,-15.0
LRFN1,human,,4.35e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.176066557,,17.0
SULF2,human,,4.4e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.878639513,,-12.0
COL1A1,human,,4.42e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.100844962,,10.0
EPHA5,human,,4.44e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.838627777,,-16.0
IL13,human,,4.5e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.122468692,,12.0
RB1,human,,4.6e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.150183174,,15.0
RGS19,human,,4.69e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.119762259,,11.0
ITGB2,human,,4.81e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.134011018,,13.0
PI15,human,,4.95e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.150444032,,15.0
XRCC4,human,,4.99e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.723388604,,-27.0
IL17A,human,,5.12e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.105612961,,10.0
CHGA,human,,5.33e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.489898436,,-51.0
AMICA1,human,,5.43e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.806182221,,-19.0
APLN,human,,5.67e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.123074574,,12.0
TUFT1,human,,5.86e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.201398398,,20.0
HDGFRP2,human,,5.92e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.819480068,,-18.0
IL18,human,,6.45e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.560526265,,-43.0
JPH3,human,,6.49e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.150717684,,15.0
CD59,human,,6.52e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.889173005,,-11.0
LILRA5,human,,6.56e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.823799584,,-17.0
TTC17,human,,6.71e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.124515906,,12.0
NUDT9,human,,6.86e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.811458106,,-18.0
ALDOC,human,,7.04e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.294591726,,29.0
CCL15,human,,7.29e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.763632151,,-23.0
IL3,human,,7.31e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.101182612,,10.0
DUT,human,,7.66e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.792077206,,-20.0
P4HB,human,,7.75e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818481701,,-18.0
BRF1,human,,7.78e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.137294125,,13.0
IQCF1,human,,7.83e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.152858091,,15.0
COX4I2,human,,8.03e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.19008199,,19.0
PACAP,human,,8.25e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.855652991,,-14.0
BIRC5,human,,8.29e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.162404259,,16.0
NRXN1,human,,8.32e-08,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.845060305,,-15.0
NDC80,human,,8.63e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.106479369,,10.0
LTBP4,human,,8.91e-08,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.08648578,,8.0
CLC,human,,1.02e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.123852368,,12.0
CD34,human,,1.08e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.118763511,,11.0
FGFR1,human,,1.1e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.840268716,,-15.0
PDE11A,human,,1.1e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.117343919,,11.0
HLA-DMA,human,,1.13e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.770242803,,-22.0
EPHB4,human,,1.15e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.146725665,,14.0
TNRC6B,human,,1.15e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.831925745,,-16.0
DAPK2,human,,1.16e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.09831887,,9.0
GPNMB,human,,1.16e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.782682227,,-21.0
IGHG1 ,human,,1.2e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.844455635,,-15.0
IGHG2,human,,1.2e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.844455635,,-15.0
IGHG3,human,,1.2e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.844455635,,-15.0
IGHG4,human,,1.2e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.844455635,,-15.0
IGK,human,,1.2e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.844455635,,-15.0
IGL,human,,1.2e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.844455635,,-15.0
GPD1,human,,1.22e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.724989182,,72.0
FAM3B,human,,1.23e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.85440051,,-14.0
NAT1,human,,1.25e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.242625354,,24.0
HSP90AB1,human,,1.34e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.783081522,,-21.0
EIF3J,human,,1.37e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.373361933,,37.0
UCHL1,human,,1.38e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.877614144,,-12.0
GLB1,human,,1.41e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.285478635,,28.0
C2orf66,human,,1.44e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.169920484,,16.0
LUM,human,,1.45e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.822205197,,-17.0
PCDHGA12,human,,1.47e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.742418532,,-25.0
RGS3,human,,1.47e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.152982893,,15.0
SPARC,human,,1.54e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.10528257,,10.0
ZNF174,human,,1.54e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.15317869,,15.0
ENO1,human,,1.57e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.701977321,,-29.0
FAM213A,human,,1.57e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.161822379,,16.0
NDUFB11,human,,1.58e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.129717969,,12.0
ASIP,human,,1.63e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.135055582,,13.0
SNX17,human,,1.64e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.137523127,,13.0
STAT1,human,,1.67e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.67418602,,-32.0
CD300LF,human,,1.68e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.106830201,,10.0
PRSS22,human,,1.68e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.798981348,,-20.0
GRB14,human,,1.73e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.121787335,,12.0
SLAMF1,human,,1.78e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.826609137,,-17.0
KLRG1,human,,1.82e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.689888533,,-31.0
UNC5D,human,,1.84e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.697628034,,-30.0
NAPB,human,,1.86e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.102076063,,10.0
DUSP26,human,,1.96e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.124081858,,12.0
LECT2,human,,1.96e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.111843685,,11.0
MAPK3,human,,2.03e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.73547642,,-26.0
LRP1,human,,2.05e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.849531301,,-15.0
IGHG1,human,,2.06e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818713677,,-18.0
IGHG2,human,,2.06e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818713677,,-18.0
IGHG3,human,,2.06e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818713677,,-18.0
IGHG4,human,,2.06e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818713677,,-18.0
IGK,human,,2.06e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818713677,,-18.0
IGL,human,,2.06e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818713677,,-18.0
MSTN,human,,2.12e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.263856067,,26.0
MSTN,human,,2.12e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.263856067,,26.0
NR1H2,human,,2.13e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.181294387,,18.0
TXNDC15,human,,2.14e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.755422369,,-24.0
TNFRSF11A,human,,2.15e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.165577529,,16.0
F10,human,,2.18e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.219191356,,21.0
MAPK8,human,,2.23e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.803977486,,-19.0
ERP29,human,,2.29e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.804223067,,-19.0
VEGFC,human,,2.29e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.870653728,,-12.0
STIM1,human,,2.3e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.185899662,,18.0
HSP90AA1,human,,2.36e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.743497204,,-25.0
HSP90AB1,human,,2.36e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.743497204,,-25.0
IL21R,human,,2.44e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.629391912,,-37.0
ANGPTL3,human,,2.48e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.787105132,,-21.0
YWHAB,human,,2.53e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.689395388,,-31.0
SMAD2,human,,2.61e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.131120744,,13.0
ST6GALNAC2,human,,2.7e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.159869054,,15.0
PAPPA,human,,2.81e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.611638187,,-38.0
SFRP1,human,,2.82e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.600535423,,-39.0
F10,human,,2.88e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.228747412,,22.0
AKT2,human,,3.04e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.746383848,,-25.0
SIGLEC12,human,,3.05e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.22154984,,22.0
SEMA4B,human,,3.09e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.844793453,,-15.0
ITIH3,human,,3.16e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.787872642,,-21.0
SCO1,human,,3.2e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.101527469,,10.0
ACY1,human,,3.21e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.492875543,,49.0
C1QTNF1,human,,3.31e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.843555262,,-15.0
CKB,human,,3.31e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.756878238,,75.0
CKM,human,,3.31e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.756878238,,75.0
VIMP,human,,3.38e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.150273501,,15.0
LEP,human,,3.46e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.161602952,,16.0
RBL2,human,,3.46e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.8340035,,-16.0
TNFRSF17,human,,3.49e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.716698342,,-28.0
HNRNPM,human,,3.56e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.791827558,,-20.0
IL12B,human,,3.56e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.829370188,,-17.0
IL23A,human,,3.56e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.829370188,,-17.0
COA3,human,,3.6e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.162704974,,16.0
PTGFRN,human,,3.6e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.1052425,,10.0
C1D,human,,3.71e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.131109409,,13.0
IFI16,human,,3.98e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.668021925,,-33.0
SPHK2,human,,4.02e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.150646855,,15.0
MAX,human,,4.05e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.690098862,,-30.0
EPHA10,human,,4.15e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.666176705,,-33.0
ICOS,human,,4.45e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.763941478,,-23.0
SMEK1,human,,4.48e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.717008531,,-28.0
F8,human,,4.54e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.759760044,,-24.0
LDOC1,human,,4.6e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.15870381,,15.0
TIGAR,human,,4.6e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.161929244,,16.0
TOR1AIP1,human,,4.59e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.802596163,,-19.0
ADCYAP1,human,,4.71e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.1057765,,10.0
FGF8,human,,4.8e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.121730169,,12.0
SLITRK1,human,,4.88e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.125000525,,12.0
CST4,human,,4.91e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.63590602,,-36.0
MSR1,human,,4.98e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.108880095,,10.0
GNLY,human,,5.03e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.674350761,,-32.0
DEFB103A,human,,5.21e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.087799809,,8.0
EFNB2,human,,5.42e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.780792292,,-21.0
C1S,human,,5.48e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.087512677,,8.0
MMP19,human,,5.48e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.81512655,,-18.0
NPDC1,human,,5.72e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.802696204,,-19.0
CELA3B,human,,5.83e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.161447381,,16.0
RBFOX2,human,,5.82e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.87826815,,-12.0
AIFM1,human,,6.01e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.109614245,,10.0
DCAF5,human,,"6,00E-07",,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.095781104,,9.0
PELO,human,,6.06e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.111373437,,11.0
EDA2R,human,,6.19e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.871473706,,-12.0
GSN,human,,6.27e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.831055162,,-16.0
TBCA,human,,6.4e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.861242526,,-13.0
PCDHGC3,human,,6.44e-07,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.275239639,,27.0
ASAH1,human,,6.49e-07,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.711711351,,-28.0
